Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-TRY001A,8306.5,215.2,15926.7,70717.1,8679.6,4010.8,5252.3,2001.4,1078.3,1999.1,23375.7,4648.4,1816.2,985.9,427.5,4222.8,79.9,488.5,6080.9,322.8,15607.5,71362.3,8456.2,4107.7,5309.2,2087.5,4935.2,1959.4,611.1,4363.8,33.3,437.0,0.0,530.1,0.0,0.0,0.0,0.0,0.0,231.8,1011.0,638.0,818.7,616.9,760.5,1232359.0,1212994.0,271107.961892,270610.76358,541718.725471,218279.0,217107.0,435386.0,64382.0,748203.725471,1059785.0,1040420.0,1705870.0,0.760332,1.052475,10.0,9.0,19.0,1620817.044537
sub-TRY002A,14814.5,129.3,20243.8,60986.3,8981.2,4313.2,5758.3,2528.4,1193.2,1933.6,22939.0,5198.1,1859.6,1364.9,362.3,4943.1,58.8,1044.0,12548.1,161.5,19037.5,63418.1,9174.0,4486.3,6000.8,2631.1,5276.8,2043.5,566.1,4831.3,23.8,959.3,0.0,638.1,0.0,0.0,0.0,0.0,0.0,200.6,1305.4,641.0,617.9,646.7,1127.4,1418544.0,1384974.0,289741.375529,291737.966963,581479.342492,285019.0,284834.0,569853.0,70404.0,776866.342492,1254359.0,1220789.0,1975049.0,0.77752,1.082546,20.0,30.0,50.0,1824447.727821
sub-TRY003A,3947.0,69.4,15504.7,50121.1,7433.2,3345.2,4784.9,1849.9,864.9,2033.0,17245.3,3973.5,1480.0,862.9,352.8,3611.2,19.2,173.4,3425.5,97.6,14194.7,51947.0,6992.9,3539.7,4800.6,1897.5,3968.8,1594.6,508.7,3552.1,9.0,201.4,0.0,718.4,0.0,0.0,0.0,0.0,0.0,132.1,1083.5,542.7,767.4,662.5,710.2,1057520.0,1046480.0,236174.396204,232332.424069,468506.820273,197463.0,195736.0,393199.0,54602.0,624456.820273,926340.0,915300.0,1473268.0,0.815552,1.136174,15.0,9.0,24.0,1296692.269513
sub-TRY004A,5378.4,424.6,12780.6,48065.3,8487.1,3526.1,5094.4,1896.2,991.2,1420.6,19408.9,3571.2,1509.2,976.4,406.1,3799.6,16.1,306.1,4537.4,589.0,18342.5,44745.7,8051.7,3756.3,5278.5,1788.8,3350.0,1725.2,513.8,3595.7,13.8,391.3,0.0,448.0,0.0,0.0,0.0,0.0,0.0,173.7,971.8,529.7,556.9,501.8,1028.4,1065242.0,1050821.0,242620.721706,243313.08171,485933.803416,189817.5,194353.5,384171.0,57711.0,637486.803416,940805.0,926384.0,1605969.0,0.767278,1.156755,10.0,9.0,19.0,1388339.65587
sub-TRY005A,5828.7,229.5,12572.7,55531.1,7330.0,2713.1,5245.9,1958.7,911.1,1864.6,19800.8,3713.1,1428.0,729.7,363.1,4062.7,30.6,363.0,5408.8,199.0,11628.4,57008.1,7377.8,2608.8,5114.1,1829.9,3711.3,1627.4,555.0,4022.0,11.9,438.1,0.0,204.9,0.0,0.0,0.0,0.0,0.0,152.0,926.3,592.2,634.4,496.6,867.0,1108896.0,1093397.0,249181.642345,246756.59527,495938.237615,204852.0,203401.0,408253.0,54931.0,663702.237615,973043.0,957544.0,1490862.0,0.782609,1.052183,13.0,6.0,19.0,1416922.170883
sub-TRY007A,7253.1,220.5,14337.9,60310.7,9623.5,4845.3,5877.3,2634.6,803.1,2395.7,23882.3,4615.2,1577.9,1182.3,588.5,4832.8,19.7,295.5,7446.0,252.5,18693.0,60743.7,9186.7,4853.8,5938.5,2335.9,4646.2,1910.9,624.1,4845.6,11.4,400.5,2.8,738.8,0.0,0.0,0.0,0.0,0.0,77.0,1185.3,725.0,567.9,600.0,939.6,1303538.0,1283874.0,276038.697504,277208.811636,553247.509139,255604.5,252401.5,508006.0,70119.0,745213.509139,1149387.0,1129723.0,1774364.0,0.795717,1.083123,13.0,15.0,28.0,1638193.174124
sub-TRY009A,2824.5,254.8,13919.3,68913.5,8847.6,4310.3,5851.3,2372.5,607.3,1585.6,24812.5,4534.6,1669.3,846.4,496.6,4359.8,23.3,247.0,2557.6,333.4,12885.5,70956.3,8671.5,4099.9,5877.1,2176.8,4650.9,1924.2,661.0,4416.8,17.0,230.5,0.0,775.8,0.0,0.0,0.0,0.0,0.0,106.1,1245.3,639.2,959.3,1067.5,996.8,1332699.0,1324026.0,295688.379387,288556.531559,584244.910946,255302.0,254004.0,509306.0,66325.0,790599.910946,1166636.0,1157963.0,1729268.0,0.764513,0.992008,17.0,19.0,36.0,1743199.147451
sub-TRY010A,3685.1,181.3,14666.2,60479.2,10191.8,3173.9,5007.9,1955.4,901.4,2211.8,21400.9,4586.8,1875.9,616.1,401.3,4425.9,6.3,340.8,3486.4,309.4,14736.4,64185.4,9326.3,3213.5,5790.2,1922.4,4641.8,1748.8,467.4,4456.5,4.1,433.0,0.0,965.7,0.0,0.0,0.0,0.0,0.0,225.7,648.4,371.3,740.6,717.3,666.3,1258240.0,1246686.0,274248.734823,277637.358047,551886.09287,236948.0,240265.0,477213.0,64869.0,743377.09287,1103735.0,1092181.0,1747612.0,0.759305,1.054624,36.0,23.0,59.0,1657094.952627
sub-TRY011A,3741.9,387.8,14247.5,60433.1,7633.3,3097.9,4171.4,2140.6,573.0,1525.4,19985.8,3344.0,1196.6,809.9,359.8,3809.6,5.1,211.9,2567.2,255.0,13415.6,61063.1,7758.2,3195.9,4629.6,1757.4,3521.2,1334.4,583.4,3956.4,8.5,172.3,0.0,408.2,0.0,0.0,0.0,0.0,0.0,95.4,957.7,525.2,599.6,592.7,862.0,1084776.0,1075351.0,229367.051941,230748.590324,460115.642265,207537.0,206510.0,414047.0,54082.0,636273.642265,936322.0,926897.0,1494843.0,0.792684,1.092334,12.0,15.0,27.0,1368485.33018
sub-TRY013A,9037.4,166.9,18629.1,52180.7,7533.9,3755.2,5103.8,2415.1,1031.0,2079.6,19401.6,3851.9,1552.2,921.0,402.8,3843.6,30.7,386.9,14842.4,339.9,14365.5,58005.8,6961.5,3919.5,4938.5,2333.9,3690.2,1660.0,456.7,3679.6,17.9,653.6,0.0,528.2,0.0,0.0,0.0,0.0,0.0,117.8,977.0,556.3,507.0,473.5,1004.0,1196470.0,1167556.0,258284.390412,260197.800681,518482.191093,223265.5,226648.5,449914.0,57375.0,685967.191093,1053436.0,1024522.0,1662180.0,0.74785,1.038941,12.0,14.0,26.0,1599878.914434
